doctor,patients_treated,total_appointments,avg_billing,no_shows
Aaron Acevedo,1,0,29047.28,
Aaron Adams,1,0,20162.26,
Aaron Aguilar,1,0,8091.81,
Aaron Alexander,1,0,22120.87,
Aaron Anderson,1,0,40326.06,
Aaron Arnold,1,0,8013.34,
Aaron Baker,2,0,22180.73,
Aaron Barker,1,0,45316.11,
Aaron Barrett,1,0,33877.38,
Aaron Barry,1,0,42794.7,
Aaron Bates,1,0,16675.85,
Aaron Becker,1,0,5777.88,
Aaron Brown,6,0,22479.28,
Aaron Burch,1,0,15087.33,
Aaron Caldwell,1,0,34837.32,
Aaron Cardenas,1,0,32952.86,
Aaron Carter,1,0,13417.36,
Aaron Christensen,2,0,22188.14,
Aaron Collins,2,0,29760.15,
Aaron Cook,2,0,29449.6,
Aaron Cooley,1,0,30348.5,
Aaron Cunningham,1,0,33458.12,
Aaron Curtis,2,0,43503.15,
Aaron David,2,0,45328.73,
Aaron Davila,1,0,21902.8,
Aaron Dennis,1,0,40217.37,
Aaron Dickson,1,0,33886.27,
Aaron Edwards,1,0,31094.72,
Aaron Esparza,1,0,41655.82,
Aaron Flores,1,0,26935.86,
Aaron Foster,1,0,23905.28,
Aaron Fox,1,0,15289.19,
Aaron Garcia,2,0,26381.11,
Aaron Glover,1,0,1651.31,
Aaron Gomez,1,0,8372.85,
Aaron Greer,2,0,46201.93,
Aaron Gregory,2,0,25105.36,
Aaron Griffin,1,0,46267.77,
Aaron Grimes,1,0,49269.41,
Aaron Hansen,1,0,42043.21,
Aaron Hanson,1,0,36246.53,
Aaron Hardy PhD,1,0,15362.63,
Aaron Harper,1,0,1620.13,
Aaron Harris,1,0,6597.16,
Aaron Harrison,1,0,13661.13,
Aaron Hernandez,2,0,30591.38,
Aaron Herrera,2,0,16776.38,
Aaron Higgins,1,0,19013.69,
Aaron Hill,2,0,33561.44,
Aaron Hudson,1,0,8816.81,
Aaron Hunter,2,0,32910.17,
Aaron Jacobs,1,0,6824.12,
Aaron Johnson,3,0,19769.86,
Aaron Johnston,1,0,35661.78,
Aaron Jones,4,0,36932.42,
Aaron Kim,2,0,29815.14,
Aaron King,2,0,21424.96,
Aaron Lee,2,0,40437.26,
Aaron Li,1,0,43372.24,
Aaron Lopez,2,0,38260.42,
Aaron Manning,2,0,48413.77,
Aaron Martin,2,0,19475.77,
Aaron Martin MD,1,0,44943.23,
Aaron Martinez,2,0,23711.87,
Aaron Maxwell,1,0,46146.67,
Aaron Mcdonald,1,0,11564.57,
Aaron Mcdowell,1,0,18620.38,
Aaron Mcmillan,1,0,30869.51,
Aaron Mendoza,1,0,16253.36,
Aaron Meyers,1,0,8715.37,
Aaron Miller,2,0,27726.33,
Aaron Mitchell,2,0,43116.72,
Aaron Moody,1,0,15434.4,
Aaron Moore,1,0,19081.96,
Aaron Moreno,1,0,22115.27,
Aaron Morgan,1,0,22050.25,
Aaron Morrow,1,0,33506.36,
Aaron Murphy,1,0,17233.57,
Aaron Murray,1,0,15492.45,
Aaron Myers,1,0,1832.17,
Aaron Neal,1,0,28346.88,
Aaron Nguyen,1,0,40791.52,
Aaron Pace,1,0,41982.11,
Aaron Park,1,0,28004.11,
Aaron Paul,1,0,32843.82,
Aaron Perez,3,0,17709.94,
Aaron Perry,1,0,18289.65,
Aaron Pham,1,0,47639.43,
Aaron Pierce,2,0,39879.67,
Aaron Price,1,0,43471.71,
Aaron Ramirez,1,0,28568.21,
Aaron Rivera,1,0,26775.5,
Aaron Roberts,1,0,11718.34,
Aaron Robertson,1,0,5984.54,
Aaron Rodriguez,1,0,43434.43,
Aaron Rogers,1,0,8211.89,
Aaron Ross,1,0,45604.06,
Aaron Russo,1,0,4968.45,
Aaron Ryan,1,0,19523.85,
Aaron Sanchez,2,0,560.38,
Aaron Schmidt,1,0,26572.92,
Aaron Smith,2,0,6660.86,
Aaron Snyder,1,0,12253.74,
Aaron Solis,1,0,32836.23,
Aaron Spencer,1,0,34363.1,
Aaron Stanley,1,0,19799.3,
Aaron Swanson,1,0,46579.72,
Aaron Taylor,1,0,37277.45,
Aaron Thomas,2,0,16536.69,
Aaron Thompson,1,0,9141.64,
Aaron Turner,4,0,19506.91,
Aaron Vasquez,1,0,28670.18,
Aaron Walker,2,0,37558.57,
Aaron Washington,1,0,38759.56,
Aaron Watkins,1,0,4911.14,
Aaron Watson,1,0,6944.61,
Aaron Webb,1,0,32687.1,
Aaron White,3,0,21348.71,
Aaron Wiggins,1,0,14509.25,
Aaron Williams,2,0,37683.27,
Aaron Wong,2,0,4529.93,
Aaron Wood,1,0,45671.88,
Aaron Wright,1,0,5471.98,
Aaron Yang,1,0,22723.29,
Abigail Aguirre,1,0,11357.88,
Abigail Alvarado,1,0,24529.93,
Abigail Armstrong,1,0,18972.78,
Abigail Beck,1,0,32006.62,
Abigail Brown,1,0,29001.61,
Abigail Bryan,1,0,2435.05,
Abigail Chen,1,0,40598.75,
Abigail Erickson MD,1,0,28060.97,
Abigail Ewing,1,0,25352.1,
Abigail Flores,1,0,7068.91,
Abigail Fowler,2,0,21998.83,
Abigail Fox,1,0,43612.95,
Abigail Garcia,1,0,11934.99,
Abigail Garza,1,0,18691.6,
Abigail Gentry,1,0,16912.68,
Abigail Hardy,1,0,13631.93,
Abigail Holder,1,0,19964.5,
Abigail Johnson,1,0,40982.52,
Abigail Jones,1,0,33782.29,
Abigail Kelly,1,0,18320.98,
Abigail King,1,0,23253.4,
Abigail Lee,1,0,8642.61,
Abigail Lopez,1,0,14511.54,
Abigail Mack,1,0,27434.1,
Abigail Martin,1,0,33610.24,
Abigail Mathis,1,0,35843.45,
Abigail Mccoy,1,0,31701.05,
Abigail Nelson,2,0,21197.14,
Abigail Newman,1,0,6407.38,
Abigail Newton,1,0,36391.79,
Abigail Noble,1,0,4051.11,
Abigail Owen,1,0,29208.23,
Abigail Pearson,1,0,27288.73,
Abigail Perez,1,0,45102.2,
Abigail Roberson,1,0,38960.54,
Abigail Ross,2,0,26967.85,
Abigail Russell,1,0,24104.27,
Abigail Salas,2,0,13310.82,
Abigail Solomon,1,0,42266.51,
Abigail Valentine,1,0,13966.01,
Abigail Vargas,1,0,17414.11,
Abigail Walker PhD,1,0,35632.06,
Abigail Warren,1,0,37662.94,
Abigail Washington,1,0,1000.7,
Abigail White,1,0,27505.0,
Abigail Williams,4,0,24659.49,
Abigail Wilson,1,0,40685.18,
Abigail Wright,2,0,26431.58,
Adam Alexander,1,0,49339.88,
Adam Anderson,1,0,3933.48,
Adam Atkins DDS,2,0,33914.05,
Adam Avila,1,0,17937.15,
Adam Bailey,1,0,2769.93,
Adam Baker,2,0,19931.14,
Adam Becker,1,0,9278.03,
Adam Bell,2,0,25871.7,
Adam Bentley,1,0,2693.88,
Adam Booth,1,0,10227.5,
Adam Bowers,2,0,15072.57,
Adam Bradley,4,0,32166.52,
Adam Bradshaw,1,0,4955.11,
Adam Brady,1,0,35320.66,
Adam Brown,1,0,48314.98,
Adam Bryant,1,0,9782.62,
Adam Buckley,1,0,14924.23,
Adam Burns,2,0,39490.34,
Adam Campbell,2,0,16068.64,
Adam Carpenter,1,0,16202.62,
Adam Carr,1,0,31999.3,
Adam Chapman,1,0,4459.29,
Adam Christian,1,0,34328.61,
Adam Clark,1,0,37365.4,
Adam Coleman,2,0,49232.46,
Adam Collins,2,0,9345.8,
Adam Cooper,2,0,42321.66,
Adam Crawford,1,0,9665.08,
Adam Curry,1,0,4521.35,
